Date,ts1,ts2,ts3
2016-08-29,0.0,0.0136,0.0235
2016-09-05,0.0,0.0353,0.2824
2016-09-12,0.0,0.0811,0.0706
2016-09-19,0.1202,0.1385,0.0235
2016-09-26,0.1609,0.095,0.4392
2016-10-03,0.0814,0.0604,0.0
2016-10-10,0.5041,0.0694,0.2824
2016-10-17,0.0,0.0479,0.5569
2016-10-24,0.1339,0.0926,0.349
2016-10-31,0.027,0.0117,0.302
2016-11-07,0.0137,0.1056,0.2824
2016-11-14,0.0274,0.3247,0.1176
2016-11-21,0.2943,0.0821,0.4431
2016-11-28,0.0672,0.0196,0.4588
2016-12-05,0.3739,0.0581,0.7843
2016-12-12,0.0,0.1871,0.5059
2016-12-19,0.0,0.0157,0.5373
2016-12-26,0.0,0.0,0.0
2017-01-02,0.2144,0.0659,0.0
2017-01-09,0.0544,0.0273,0.0
2017-01-16,0.0128,0.0471,0.0941
2017-01-23,0.9726,0.1745,0.6039
2017-01-30,0.0393,0.0155,0.1647
2017-02-06,0.0407,0.0829,0.1647
2017-02-13,0.0676,0.112,0.349
2017-02-20,0.7313,0.052,1.0
2017-02-27,0.0137,0.1403,0.2353
2017-03-06,0.0,0.1127,0.0235
2017-03-13,0.0667,0.0488,0.0706
2017-03-20,0.0398,0.0542,0.8078
2017-03-27,0.0548,0.1022,0.0235
2017-04-03,0.0809,0.0621,0.8314
2017-04-10,0.0393,0.008,0.1843
2017-04-17,0.0667,0.021,0.4196
2017-04-24,0.0274,0.0823,0.0471
2017-05-01,0.4529,0.1097,0.0
2017-05-08,0.0937,0.1118,0.5098
2017-05-15,0.1869,0.0232,0.6039
2017-05-22,0.0,0.0656,0.0706
2017-05-29,0.053,0.0502,0.3922
2017-06-05,0.0795,0.0308,0.1176
2017-06-12,0.1202,0.0193,0.2353
2017-06-19,0.1339,0.0615,0.1843
2017-06-26,0.0941,0.0176,0.2353
2017-07-03,0.0128,0.7031,0.1176
2017-07-10,0.0128,0.0297,0.3725
2017-07-17,0.0265,0.2848,0.298
2017-07-24,0.3332,0.0871,0.0471
2017-07-31,0.0544,0.0826,0.0
2017-08-07,0.0407,0.0599,0.2314
2017-08-14,0.0681,0.0425,0.6196
2017-08-21,0.0654,0.0291,0.3059
2017-08-28,0.0535,0.0309,0.1176
2017-09-04,0.1079,0.7867,0.6471
2017-09-11,0.3611,0.075,0.0
2017-09-18,0.0137,0.0462,0.2314
2017-09-25,0.2678,0.0366,0.302
2017-10-02,0.027,0.0156,0.0
2017-10-09,0.0676,0.0596,0.3922
2017-10-16,0.0941,0.127,0.0706
2017-10-23,0.1421,0.1336,0.0706
2017-10-30,0.027,0.0123,0.0
2017-11-06,0.1207,0.0292,0.2314
2017-11-13,0.1069,0.0405,0.0941
2017-11-20,1.0,0.0561,0.6314
2017-11-27,0.0137,0.0353,0.1608
2017-12-04,0.3748,0.0676,0.0471
2017-12-11,0.1737,0.0699,0.0
2017-12-18,0.0,0.0202,0.3922
2017-12-25,0.0,0.0,0.0
2018-01-01,0.388,0.027,0.0
2018-01-08,0.0754,0.0889,0.2784
2018-01-15,0.0137,0.3074,0.0
2018-01-22,0.0274,0.1099,0.0
2018-01-29,0.0,1.0,0.4431
2018-02-05,0.0672,0.1269,0.1176
2018-02-12,0.0,0.0235,0.1176
